"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Caribeans,"Talamanca, Raul-Kekoldo community",0.72,Costa Rica,3.25, ,Costa Rica
Caribeans,Anselmo Paraiso Estate,0.72,Costa Rica,3.5, ,Costa Rica
Caribeans,Costa Rica,0.72,Costa Rica,3.0,Forastero,Costa Rica
Caribeans,Costa Rica,0.8,Costa Rica,2.75,Forastero,Costa Rica
Carlotta Chocolat,Arauca,0.65,Colombia,3.0,Trinitario,Colombia
Carlotta Chocolat,Tumaco,0.65,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,0.65,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Huila,0.65,Colombia,3.5,Trinitario,Colombia
Carlotta Chocolat,Cesar,0.65,Colombia,3.5,CCN51,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",0.72,U.S.A.,4.0,Trinitario,Belize
Castronovo,"the lost city, gracias a dias, batch 362",0.72,U.S.A.,3.5,Trinitario,Honduras
Castronovo,"Duarte, Batch 360",0.7,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
Castronovo,"Piaroa, Amazonas, Batch 350",0.72,U.S.A.,3.5, ,Venezuela
Castronovo,Sierra Nevada,0.72,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Arauca,0.76,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Elvesia P.,0.7,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,Bolivia,0.7,U.S.A.,3.0,Trinitario,Bolivia
Castronovo,Conacado,0.73,U.S.A.,3.5,Trinitario,Dominican Republic
Castronovo,San Martin,0.7,U.S.A.,2.5,Criollo,Peru
Castronovo,"Guaniamo, Amazonas",0.7,U.S.A.,3.25, ,Venezuela
Castronovo,Nicaragua,0.72,U.S.A.,3.25,Trinitario,Nicaragua
Castronovo,Tumbes,0.7,U.S.A.,2.75,Criollo,Peru
Castronovo,Guaniamo,0.72,U.S.A.,3.0, ,Venezuela
Cello,Ecuador,0.7,U.S.A.,2.5, ,Ecuador
Cello,Peru,0.7,U.S.A.,2.75, ,Peru
Cello,Venezuela,0.7,U.S.A.,2.75, ,Venezuela
Cello,Bolivia,0.7,U.S.A.,3.0, ,Bolivia
Cemoi,Equateur,0.72,France,2.75, ,Ecuador
Chaleur B,Uganda,0.7,Canada,2.75,Forastero,Uganda
Charm School,Maya Mtn,0.7,U.S.A.,3.25, ,Belize
Chchukululu (Tulicorp),Arriba,0.55,Ecuador,2.75,Forastero (Arriba),Ecuador
Chchukululu (Tulicorp),Los Rios,0.75,Ecuador,3.0,Forastero (Arriba),Ecuador
Chequessett,la Amistad,0.7,U.S.A.,3.5, ,Costa Rica
Chloe Chocolat,Blend No. 1,0.7,France,3.5, , 
Chocablog,Ecuador,0.7,U.K.,3.25, ,Ecuador
Choco Del Sol,Maya Mountain w/ nibs,0.75,Germany,3.0,Trinitario,Belize
Choco Del Sol,Maya Mountain,0.82,Germany,3.25,Trinitario,Belize
Choco Dong,"Mekong Delta, early 2014 Harvest",0.7,South Korea,2.75,Trinitario,Vietnam
Choco Dong,"Tawau, Oct. 2015 Harvest",0.7,South Korea,3.5,Trinitario,Malaysia
Chocolarder,Peru,0.65,U.K.,2.5,Criollo,Peru
Chocolarder,Peru + nibs,0.65,U.K.,2.75,Criollo,Peru
Chocolarder,Dominican Republic,0.8,U.K.,2.5, ,Dominican Republic
Chocola'te,Madagascar,0.7,U.S.A.,3.75,Trinitario,Madagascar
Chocola'te,Venezuela,0.68,U.S.A.,3.75, ,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",0.9,U.S.A.,2.5, ,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",0.8,U.S.A.,2.5, , 
Chocolate Con Amor,Wild Bolivian,0.7,U.S.A.,2.5, ,Bolivia
Chocolate Con Amor,Uganda,0.7,U.S.A.,2.75, ,Uganda
Chocolate Con Amor,Dominican Republic,0.6,U.S.A.,3.0, ,Dominican Republic
Chocolate Con Amor,Dominican Republic,0.75,U.S.A.,3.0, ,Dominican Republic
Chocolate Con Amor,Ocumare,0.8,U.S.A.,3.0,Criollo (Ocumare),Venezuela
Chocolate Con Amor,Ecuador,0.7,U.S.A.,3.25, ,Ecuador
Chocolate Con Amor,Nicaragua,0.8,U.S.A.,2.75, ,Nicaragua
Chocolate Conspiracy,Peru,0.74,U.S.A.,2.75, ,Peru
Chocolate Makers,Tres Hombres,0.75,Amsterdam,3.25,Trinitario,Dominican Republic
Chocolate Makers,"Congo, Gorilla bar",0.68,Amsterdam,3.5,Forastero,Congo
Chocolate Makers,"Peru, Awagum bar",0.8,Amsterdam,3.75,Criollo,Peru
"Chocolate Tree, The",Maranon,0.69,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Carenero Superior,0.8,Scotland,3.75,Trinitario,Venezuela
"Chocolate Tree, The",Peru,0.7,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Ecuador,0.82,Scotland,2.5,Forastero (Arriba),Ecuador
"Chocolate Tree, The",Peru,0.68,Scotland,2.75,Criollo,Peru
"Chocolate Tree, The",Madagascar,0.72,Scotland,3.25,Criollo,Madagascar
Chocolats Privilege,Xoconusco,0.7,Canada,2.5,Criollo,Mexico
ChocoReko,Patanemo,0.77,Japan,3.0,Criollo,Venezuela
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",0.65,Canada,3.25, ,Mexico
Chocovic,Xoconusco,0.71,Spain,3.25,Criollo,Mexico
Chocovic,Sambirano,0.71,Spain,3.5,Trinitario,Madagascar
Chocovic,Kendari,0.6,Spain,3.25, , 
Chocovic,Tarakan,0.75,Spain,3.25, , 
Chocovic,Ocumare,0.71,Spain,3.5,Criollo,Venezuela
Chocovic,"Bolivar, Guaranda",0.71,Spain,2.5,Forastero (Arriba),Ecuador
Chocovic,Guyave,0.71,Spain,2.5,Trinitario,Grenada
Chocovic,Maragda,0.7,Spain,3.0,Blend, 
Chocovivo,Tabasco,0.65,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,0.75,U.S.A.,2.5,Trinitario,Mexico
Choklat,Ocumare,0.8,Canada,2.5,Criollo,Venezuela
Choklat,"Porcelana, Tabasco",0.7,Canada,2.75,Criollo,Mexico
Choklat,Brazilian,0.7,Canada,3.0, ,Brazil
Choklat,Brazilian,0.8,Canada,3.0, ,Brazil
Choklat,Ocumare,0.7,Canada,3.0,Criollo,Venezuela
Chokolat Elot (Girard),Guadeloupe,0.42,Martinique,2.75, ,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",0.75,Canada,3.25, ,Mexico
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",0.68,Canada,3.75,Forastero (Nacional),Peru
Chuao Chocolatier,Choroni,0.61,U.S.A.,3.0,Criollo,Venezuela
Chuao Chocolatier (Pralus),Chuao,0.77,U.S.A.,2.75,Trinitario,Venezuela
Claudio Corallo,Terreiro Velho P.,0.735,Sao Tome,3.75,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,0.8,Sao Tome,3.0,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,0.75,Sao Tome,4.0,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,1.0,Sao Tome,1.0,Forastero,Sao Tome & Principe
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",0.73,U.S.A.,3.5, ,Ecuador
Coleman & Davis,Sambirano,0.75,U.S.A.,3.0,Trinitario,Madagascar
Compania de Chocolate (Salgado),Sur del Lago,0.7,Argentina,3.25, ,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,0.8,Argentina,2.75,Trinitario,Venezuela
Compania de Chocolate (Salgado),Moxos,0.72,Argentina,3.25, ,Bolivia
Compania de Chocolate (Salgado),Ocumare,0.7,Argentina,3.75,Criollo,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,0.88,Argentina,2.75,Forastero (Nacional),Ecuador
Condor,Camino Verde,0.76,U.S.A.,3.5, ,Ecuador
Confluence,"Tien Giang, 2015, batch 10-2-16",0.78,U.S.A.,2.75,Trinitario,Vietnam
Coppeneur,"Ecuador, Puristique",0.65,Germany,3.25,Forastero (Nacional),Ecuador
Coppeneur,Ghana Puristique,0.85,Germany,3.5,Forastero,Ghana
Coppeneur,Ecuador Puristique,1.0,Germany,1.5, ,Ecuador
Coppeneur,Uba Budo,0.72,Germany,3.75,Forastero,Sao Tome & Principe
Coppeneur,Madagascar,0.7,Germany,3.5,Trinitario,Madagascar
Coppeneur,Grenada,0.72,Germany,3.25,Trinitario,Grenada
Coppeneur,Chuao,0.7,Germany,3.0,Trinitario,Venezuela
Coppeneur,"Los Rios, H. Iara",0.72,Germany,2.5,Nacional,Ecuador
Coppeneur,Trinidad,0.72,Germany,3.0,Trinitario,Trinidad
Coppeneur,Jamaica,0.72,Germany,3.25,Trinitario,Jamaica
Coppeneur,Ocumare 61,0.72,Germany,3.25,Criollo (Ocumare 61),Venezuela
Coppeneur,"Porcelana, Apotequil",0.72,Germany,3.0,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",0.62,Germany,3.25,Criollo,Peru
Coppeneur,Chuao 100hr,0.7,Germany,3.5,"Criollo, Trinitario",Venezuela
Coppeneur,Chuao 70hr,0.7,Germany,3.75,"Criollo, Trinitario",Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",0.72,Germany,3.0,Criollo,Mexico
Coppeneur,"Porcelana, Venezuela",0.72,Germany,3.0,Criollo (Porcelana),Venezuela
Coppeneur,"Sambirano, Menava P.",0.72,Germany,3.0,Trinitario,Madagascar
Cote d' Or (Kraft),Sensations Intense,0.7,Belgium,1.0, , 
Cravve,New Ireland,0.7,Australia,2.5,Forastero,Papua New Guinea
Cravve,"Vanuatu, batch 2410",0.83,Australia,2.75,Trinitario,Vanuatu
Cravve,"Tanzania, batch a1",0.75,Australia,3.25,Forastero,Tanzania
Cravve,"Bahia, batch a1213",0.65,Australia,3.25,Trinitario,Brazil
Cravve,"Namau Village, N. Taileva P., batch a2812",0.67,Australia,3.25,Trinitario,Fiji
Cravve,Vanuatu,0.64,Australia,3.25,Trinitario,Vanuatu
Cravve,Djual Island,0.75,Australia,3.5,Forastero,Papua New Guinea
Creo,"""heirloom"", Arriba Nacional",0.85,U.S.A.,3.25,Forastero (Nacional),Ecuador
Creo,"""heirloom"", Arriba Nacional",0.73,U.S.A.,3.75,Forastero (Nacional),Ecuador
Daintree,Goodman Estate,0.7,Australia,2.75, ,Australia
Daintree,"Daintree Estates, N. Queensland",0.7,Australia,3.25, ,Australia
Dalloway,"Dominican Republic, batch 7",0.72,U.S.A.,2.75, ,Dominican Republic
Damson,Robson Estate,0.7,U.K.,3.0,Trinitario,Trinidad
Damson,Los Rios,0.7,U.K.,3.5, ,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,0.7,U.K.,2.25, ,Grenada
Damson,O'Payo,0.7,U.K.,2.75, ,Nicaragua
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",0.7,U.S.A.,3.75, , 
Dandelion,"Maya Mtn., Break Bar- Snark",0.7,U.S.A.,3.0,Trinitario,Belize
Dandelion,Maya Mountain,0.7,U.S.A.,3.5,Trinitario,Belize
Dandelion,"Camino Verde P., Balao, Guayas, 2013",0.7,U.S.A.,3.5, ,Ecuador
Dandelion,Buto,0.7,U.S.A.,2.75, ,Liberia
Dandelion,"San Francisco de Macoris, Cibao region",0.7,U.S.A.,3.75, ,Dominican Republic
Dandelion,"Cumboto, farmer Jose Lugo",0.7,U.S.A.,2.75, ,Venezuela
Dandelion,Patanemo,0.7,U.S.A.,3.25, ,Venezuela
Dandelion,"Mantuano, 2012",0.7,U.S.A.,3.5, ,Venezuela
Dandelion,Papua New Guinea,0.7,U.S.A.,3.5, ,Papua New Guinea
Dandelion,Upala,0.7,U.S.A.,3.0, ,Costa Rica
Dandelion,Colombian,0.7,U.S.A.,3.25, ,Colombia
Dandelion,"Elvesia, 2011",0.7,U.S.A.,3.75, ,Dominican Republic
Dandelion,Dominican Republic,0.7,U.S.A.,3.25, ,Dominican Republic
Dandelion,Madagascar,0.7,U.S.A.,3.25,Trinitario,Madagascar
Dandelion,Tanzania,0.7,U.S.A.,3.25, ,Tanzania
Danta,Los Ujuxtes,0.82,Guatemala,3.25, ,Guatemala
Danta,Chuao,0.75,Guatemala,3.0,Trinitario,Venezuela
Danta,Los Ujuxtes,0.7,Guatemala,3.75, ,Guatemala
Danta,Sambirano,0.7,Guatemala,3.75,Trinitario,Madagascar
Danta,Las Acacias E.,0.7,Guatemala,4.0,Criollo,Guatemala
Danta,"Oscuro, Finca Chimelb",0.7,Guatemala,3.25, ,Guatemala
Danta,Los Ujuxtes,0.6,Guatemala,3.5, ,Guatemala
Danta,Las Acacias E.,0.75,Guatemala,3.0,Criollo,Guatemala
Danta,Las Acacias E.,0.6,Guatemala,3.25,Criollo,Guatemala
DAR,"Venezuela, batch 122",0.72,U.S.A.,2.75, ,Venezuela
DAR,Vietnam,0.72,U.S.A.,3.0,Trinitario,Vietnam
DAR,"DUO, batch 002",0.7,U.S.A.,3.25, ,"Ecuador, Costa Rica"
Dark Forest,Bolivia,0.75,U.S.A.,3.25, ,Bolivia
Dark Forest,Madagascar,0.7,U.S.A.,3.0,Trinitario,Madagascar
Dark Forest,Ocumare,0.7,U.S.A.,3.25, ,Venezuela
Dark Forest,Tanzania,0.7,U.S.A.,3.0, ,Tanzania
Dark Forest,Ecuador,0.7,U.S.A.,3.25, ,Ecuador
Davis,Ghana,0.7,U.S.A.,2.5,Forastero,Ghana
Davis,Rainforest,0.7,U.S.A.,2.75, ,Dominican Republic
Davis,Venezuela,0.7,U.S.A.,2.75, ,Venezuela
Davis,West Africa,0.58,U.S.A.,3.25,Forastero,West Africa
De Mendes,"Nativo, Varzea",0.72,Brazil,3.5, ,Brazil
De Mendes,"Selvagem, Jari",0.65,Brazil,3.5, ,Brazil
De Villiers,Bundibugyo District,0.7,South Africa,2.5,Forastero,Uganda
De Villiers,"Sambirano Valley, batch 2477",0.7,South Africa,3.0, ,Madagascar
Dean and Deluca (Belcolade),Madagascar,0.66,U.S.A.,2.5,Trinitario,Madagascar
Dean and Deluca (Belcolade),Costa Rica,0.64,U.S.A.,3.0, ,Costa Rica
Dean and Deluca (Belcolade),Ecuador,0.71,U.S.A.,3.0, ,Ecuador
Dean and Deluca (Belcolade),Ghana,0.6,U.S.A.,3.0,Forastero,Ghana
Dean and Deluca (Belcolade),Papua New Guinea,0.64,U.S.A.,3.0, ,Papua New Guinea
Dean and Deluca (Belcolade),Peru,0.64,U.S.A.,3.0, ,Peru
Debauve & Gallais (Michel Cluizel),Papua New Guinea,0.64,France,3.0, ,Papua New Guinea
Debauve & Gallais (Michel Cluizel),Venezuela,0.66,France,3.75, ,Venezuela
Desbarres,"Kilombero, batch 41",0.72,Canada,2.5, ,Tanzania
DeVries,Bolivian,0.8,U.S.A.,2.75, ,Bolivia
DeVries,Costa Rica,0.77,U.S.A.,3.5,Trinitario,Costa Rica
DeVries,Dominican Republic,0.77,U.S.A.,3.5, ,Dominican Republic
Dick Taylor,Lanquin Estate,0.7,U.S.A.,3.75, ,Guatemala
Dick Taylor,Tien Giang,0.78,U.S.A.,3.5,Trinitario,Vietnam
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",0.7,U.S.A.,3.75, ,Bolivia
Dick Taylor,Elvesia,0.74,U.S.A.,3.5, ,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",0.7,U.S.A.,3.25, ,Ecuador
Dick Taylor,Camino Verde,0.76,U.S.A.,3.5, ,Ecuador
Dick Taylor,Bolivia,0.75,U.S.A.,2.75, ,Bolivia
Dick Taylor,Belize,0.72,U.S.A.,2.75,Trinitario,Belize
Dick Taylor,Sambirano,0.8,U.S.A.,2.75,Trinitario,Madagascar
Dick Taylor,Sambirano,0.72,U.S.A.,3.0,Trinitario,Madagascar
Dick Taylor,Mantuano,0.75,U.S.A.,2.75,Criollo,Venezuela
Dick Taylor,La Red,0.74,U.S.A.,3.0, ,Dominican Republic
Dick Taylor,Ecuador,0.7,U.S.A.,3.25, ,Ecuador
Doble & Bignall,Puerto Cabello,0.85,U.K.,3.0, ,Venezuela
Doble & Bignall,"Panama, Raven",0.72,U.K.,3.25, ,Panama
Doble & Bignall,"Puerto Cabello, Mantuano",0.72,U.K.,3.25,Trinitario,Venezuela
Doble & Bignall,Johe,0.72,U.K.,3.5,"Criollo, Trinitario",Nicaragua
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",0.7,U.S.A.,3.75, ,Hawaii
Dolfin (Belcolade),Africa,0.88,Belgium,3.0,Forastero,West Africa
Dolfin (Belcolade),Noir,0.7,Belgium,1.5, , 
Domori,Hacienda Victoria,0.7,Italy,3.75, ,Ecuador
Domori,Ocumare 77,0.7,Italy,3.75,Criollo (Ocumare 77),Venezuela
Domori,"IL100, H. San Jose",1.0,Italy,3.0,Criollo,Venezuela
Domori,Morogoro,0.7,Italy,3.5, ,Tanzania
Domori,Guasare,0.7,Italy,3.75,Criollo,Venezuela
Domori,"Canoabo, Hacienda San Jose",0.7,Italy,3.5,Criollo,Venezuela
Domori,"Chuao, Hacienda San Jose",0.7,Italy,3.0,Trinitario,Venezuela
Domori,"Carupano, H. San Jose",0.7,Italy,3.0,Trinitario,Venezuela
Domori,Teyuna,0.7,Italy,3.0, ,Colombia
Domori,Blend No. 1,0.78,Italy,3.5,Blend, 
Domori,Ilblend,0.7,Italy,3.75,Blend, 
Domori,Porcelana,0.7,Italy,4.0,Criollo (Porcelana),Venezuela
Domori,"Ocumare 61, Puertomar",0.75,Italy,3.25,Criollo (Ocumare 61),Venezuela
Domori,Granella,0.6,Italy,3.25,Trinitario,Venezuela
Domori,Madagascar,0.7,Italy,3.5,Trinitario,Madagascar
Domori,Madagared,0.7,Italy,3.5,Criollo,Madagascar
Domori,"Java, Javablond",0.7,Italy,3.75,Criollo,Indonesia
Domori,Ecuador,0.7,Italy,4.0,Forastero (Arriba),Ecuador
Domori,"Ocumare 67, Puertofino",0.7,Italy,4.0,Criollo (Ocumare 67),Venezuela
Domori,Sur del Lago Classificado,0.7,Italy,3.0,Trinitario,Venezuela
Domori,Apurimac,0.7,Italy,3.25,Trinitario,Peru
Domori,Carenero Superior,0.7,Italy,3.5,Trinitario,Venezuela
Dormouse,Non Pariel Estate,0.75,U.K.,2.75,Trinitario,Grenada
Dormouse,"Rio Caribe, Batch 7",0.7,U.K.,2.5,Trinitario,Venezuela
Dormouse,"Colombia, Batch 9",0.8,U.K.,2.75,"Criollo, Trinitario",Colombia
Dormouse,"Madagascar, Batch 8",0.77,U.K.,2.75,"Criollo, Trinitario",Madagascar
Duffy's,"Rio Dulce, Xoco",0.7,U.K.,4.0,Criollo,Guatemala
Duffy's,"Chuno, Xoco",0.7,U.K.,3.5,Criollo,Nicaragua
Duffy's,"Rico Rugoso, Xoco",0.76,U.K.,3.75,Criollo,Nicaragua
Duffy's,Ocumare,0.72,U.K.,3.75, ,Venezuela
Duffy's,"Indio Rojo, Xoco",0.72,U.K.,3.75,Criollo,Honduras
Duffy's,Dominican Republic,0.65,U.K.,3.5, ,Dominican Republic
Duffy's,"Bocas del Toro, Tierra Oscura",0.72,U.K.,3.0, ,Panama
Duffy's,"Nicaliso, Xoco",0.71,U.K.,3.25,Criollo,Nicaragua
Duffy's,Ocumare,0.71,U.K.,3.5, ,Venezuela
Duffy's,Panama,0.7,U.K.,3.5, ,Panama
Duffy's,"Corazon del Ecuador, Calceta beans",0.72,U.K.,3.75, ,Ecuador
Duffy's,Star of Ecuador,0.7,U.K.,2.5, ,Ecuador
Duffy's,Star of Peru,0.7,U.K.,3.75, ,Peru
Dulcinea,Dominican Republic,0.7,U.S.A.,3.25, ,Dominican Republic
Durand,Madagascar,0.82,France,2.75,Trinitario,Madagascar
Durci,"Maranon, Joya Rara",0.7,U.S.A.,3.5,Forastero (Nacional),Peru
Durci,"Rio Caribe, Tepui Treasure",0.7,U.S.A.,3.5,Trinitario,Venezuela
Durci,Taino Secret,0.7,U.S.A.,3.25, ,Domincan Republic
Durci,"Carenero, Empyrean Sabor",0.7,U.S.A.,3.25,Trinitario,Venezuela
Durci,Corona Arriba,0.7,U.S.A.,4.0, ,Ecuador
East Van Roasters,Peru,0.7,Canada,3.25, ,Peru
East Van Roasters,Madagascar,0.7,Canada,3.5,Trinitario,Madagascar
East Van Roasters,Dominican Republic,0.7,Canada,3.75, ,Dominican Republic
Eau de Rose,Tumaco,0.7,Canada,3.25, ,Colombia
Eau de Rose,Arauca,0.7,Canada,3.25, ,Colombia
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",0.72,U.S.A.,2.75,Forastero (Nacional),Peru
Edelmond,Porcelana,0.68,Germany,3.0,Criollo,Venezuela
El Ceibo,"Alto Beni, Covendo Region",0.75,Bolivia,3.75, ,Bolivia
El Ceibo,Alto Beni,0.71,Bolivia,2.75, ,Bolivia
El Rey,San Joaquin,0.7,Venezuela,3.75, ,Venezuela
El Rey,"Rio Caribe, Cariaco",0.605,Venezuela,2.75,Trinitario,Venezuela
El Rey,"Rio Caribe, Macuro",0.7,Venezuela,3.0,Trinitario,Venezuela
El Rey,"Carenero Superior, Apamate",0.74,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Bucare",0.58,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Mijao",0.61,Venezuela,3.0,Criollo,Venezuela
El Rey,"Carenero Superior, Gran Saman",0.7,Venezuela,2.75,Criollo,Venezuela
Emerald Estate,Emerald Estate,0.6,St. Lucia,2.75, ,St. Lucia
Emerald Estate,Emerald Estate,0.7,St. Lucia,3.25, ,St. Lucia
Emily's,Patanemo,0.79,Japan,3.0, ,Venezuela
Emily's,Peru,0.78,Japan,3.5,Criollo,Peru
ENNA,"Wampusirpi, batch 007",0.75,U.S.A.,3.25, ,Honduras
Enric Rovira (Claudio Corallo),Terreiro Velho P.,0.8,Spain,3.25,Forastero,Sao Tome & Principe
Erithaj (A. Morin),Ben Tre,0.7,France,3.25,Trinitario,Vietnam
Erithaj (A. Morin),Ham Luong,0.8,France,3.0,Trinitario,Vietnam
Erithaj (A. Morin),Ba Lai,0.74,France,3.25,Trinitario,Vietnam
Escazu,Rio Caribe,0.7,U.S.A.,2.75,Trinitario,Venezuela
Escazu,Guapiles,0.65,U.S.A.,2.0, ,Costa Rica
Escazu,Carenero Superior,0.81,U.S.A.,3.5,Criollo,Venezuela
Escazu,"Carenero, Guapiles, Ocumare blend",0.74,U.S.A.,2.75, ,"Cost Rica, Ven"
Escazu,Ocumare,0.72,U.S.A.,3.0,Criollo,Venezuela
Ethel's Artisan (Mars),"Peru, Madagascar",0.55,U.S.A.,2.5, ,"Peru, Madagascar"
Ethel's Artisan (Mars),Trinidad,0.55,U.S.A.,2.5,Trinitario,Trinidad
Ethel's Artisan (Mars),Porcelana,0.7,U.S.A.,2.5,Criollo (Porcelana),Venezuela
Ethel's Artisan (Mars),Red Vanilla,0.62,U.S.A.,2.75, , 
Ethel's Artisan (Mars),"Venezuela, Trinidad",0.62,U.S.A.,2.5, ,"Venezuela, Trinidad"
Ethereal,Belize,0.8,U.S.A.,3.0,Trinitario,Belize
Ethereal,Ecuador,0.8,U.S.A.,3.5, ,Ecuador
Ethereal,Dominican Republic,0.8,U.S.A.,3.75, ,Dominican Republic
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",0.75,U.S.A.,2.75, ,Brazil
Feitoria Cacao,Blue Mountain,0.76,Portugal,3.0, ,Jamaica
Feitoria Cacao,Cuyagua,0.76,Portugal,2.5, ,Venezuela
Feitoria Cacao,Maya Mountain,0.76,Portugal,2.75,Trinitario,Belize
Felchlin,Grenada,0.58,Switzerland,3.5,Trinitario,Grenada
Felchlin,Supremo- SF,0.62,Switzerland,2.0, , 
Felchlin,Elvesia P.,0.74,Switzerland,3.0,"Trinitario, Criollo",Dominican Republic
Felchlin,"Madagascar, Grand Cru",0.64,Switzerland,3.0,Criollo,Madagascar
Felchlin,Maracaibo Clasificado,0.65,Switzerland,3.0,Criollo,Venezuela
Felchlin,Arriba,0.72,Switzerland,3.5,Forastero (Arriba),Ecuador
Felchlin,"Alto Beni, Cru Savage",0.68,Switzerland,4.0,Criollo (Wild),Bolivia
Finca,Puerto Rico,0.65,U.S.A.,2.25, ,Puerto Rico
Finca,Dominican Republic,0.8,U.S.A.,3.0, ,Dominican Republic
Finca,Dominican Republic,0.7,U.S.A.,3.25, ,Dominican Republic
Finca,Dominican Republic,0.85,U.S.A.,2.5, ,Dominican Republic
Forever Cacao,Rio Eni,0.72,U.K.,2.75,Criollo,Peru
Forteza (Cortes),Dominican Republic,0.7,Puerto Rico,2.75, ,Domincan Republic
Forteza (Cortes),Puerto Rico,0.8,Puerto Rico,2.75, ,Domincan Republic
Fossa,"Akesson's E., Sambirano V.",0.7,Singapore,2.75, ,Madagascar
Fossa,"Camino Verde P., Balao, Guayas",0.75,Singapore,3.5, ,Ecuador
Fossa,"Kokoa Kamili Coop, Kilombero",0.67,Singapore,3.75,Trinitario,Tanzania
Franceschi,Choroni,0.7,Venezuela,3.5, ,Venezuela
Franceschi,Ocumare,0.7,Venezuela,3.75, ,Venezuela
Franceschi,Canoabo,0.7,Venezuela,3.75, ,Venezuela
Franceschi,Sur del Lago,0.6,Venezuela,3.5, ,Venezuela
Frederic Blondeel,Costa Rica,0.7,Belgium,3.5, ,Costa Rica
Frederic Blondeel,Peru Brutus,0.75,Belgium,3.5, ,Peru
Frederic Blondeel,Vietnam,0.8,Belgium,3.0,Trinitario,Vietnam
Frederic Blondeel,Ghana,0.6,Belgium,3.5,Forastero,Ghana
Frederic Blondeel,Madagascar,0.65,Belgium,3.5,Trinitario,Madagascar
French Broad,"Norandino, batch 161208",0.7,U.S.A.,3.5, ,Peru
French Broad,Guatemala,0.73,U.S.A.,3.5, ,Guatemala
French Broad,San Andres,0.8,U.S.A.,3.0, ,Costa Rica
French Broad,Matagalpa,0.68,U.S.A.,3.25, ,Nicaragua
French Broad,"Palo Blanco, Chulucanas",0.66,U.S.A.,3.5, ,Peru
French Broad,Tumbes Coop,0.7,U.S.A.,2.5,Criollo,Peru
French Broad,"Palo Blanco, Chulucanas",0.61,U.S.A.,3.5, ,Peru
French Broad,"Palo Blanco w/ panela, Chulucanas",0.81,U.S.A.,2.0, ,Peru
French Broad,"Maranon Canyon, Fortunato No. 4",0.7,U.S.A.,3.5,Forastero (Nacional),Peru
French Broad,La Red,0.65,U.S.A.,3.5, ,Dominican Republic
Fresco,"Maranon, #228, MR, SC",0.7,U.S.A.,3.0,Forastero (Nacional),Peru
Fresco,"Maranon, #227, LR, MC",0.7,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #229, MR, LC",0.7,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #230, DR, LC",0.7,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Conacado, #223, MR, SC",0.72,U.S.A.,3.25, ,Dominican Republic
Fresco,"Conacado, #224, MR, MC",0.72,U.S.A.,3.75, ,Dominican Republic
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",0.7,U.S.A.,3.75, ,Peru
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",0.7,U.S.A.,4.0,Trinitario,Peru
Fresco,"Markham Valley, #219, LR, MC",0.69,U.S.A.,3.5, ,Papua New Guinea
